sha_id,project,vulnerability
85c97ca7a10b93216bc95052e9dabe3a4bb8736a,qemu,0
0ff0fad23d3693ecf7a0c462cdb48f0e60f93808,qemu,0
d3b2a5d1e4a627395cdc8f40d05b12bf8ab58817,qemu,0
6db3ea39e2650dc4fbcd18e075510f162265512f,qemu,0
3541b08475d51bddf8aded36576a0ff5a547a978,qemu,0
dc88a467ec7214c3086094033daf2aba554337b1,qemu,0
fd56e0612b6454a282fa6a953fdb09281a98c589,qemu,0
81491c2846b7a818eb069dbc5f688537e382fc83,qemu,0
87d757d60d66d5ee1608460b0f1e07e2b758db9c,qemu,0
e3af7c788b73a6495eb9d94992ef11f6ad6f3c56,qemu,0
93fbd0314ec060ffaf90169a06d5737fa97ffb25,qemu,0
13f1c773640171efa8175b1ba6dcd624c1ad68c1,qemu,0
8dfd5f96515ca20c4eb109cb0ee28e2bb32fc505,qemu,0
9cd1e97a7ae2856ec00b5682db0dea17f42fc734,qemu,0
aef45d51d1204f3335fb99de6658e0c5612c2b67,qemu,0
8301ea444abb49f7b7fb939b09c1e23b22977f30,qemu,0
d02a8698d7ae2bfed3b11fe5b064cb0aa406863b,qemu,0
9901c576f6c02d43206e5faaf6e362ab7ea83246,qemu,0
0f40444cc4fc6526a9a544b11475f1086113f9ba,qemu,0
3919e60b6efd9a86a0e6ba637aa584222855ac3a,qemu,0
3817ce03bf3373065c25e389ecb7f23a511ebcdc,qemu,0
17906a162a1febef92e1d3eddc090e967a351757,qemu,0
0173e21b617d3de1fcfa917e329bb9194ab332a4,qemu,0
50f11062d4c896408731d6a286bcd116d1e08465,qemu,0
aff3f0f150769ec4f97c6e2cefe91c4a0377b548,qemu,0
c51a5cfc9fae82099028eb12cb1d064ee07f348e,qemu,0
56258174238eb25df629a53a96e1ac16a32dc7d4,qemu,0
6d8048341995b31a77dc2e0dcaaf4e3df0e3121a,qemu,0
f738cfc843055238ad969782db69156929873832,qemu,0
262517b7e062bde92beb9304fb813cac1e95643a,qemu,0
33c5793bd92b85b0d3666f35e44cef855b48e76a,qemu,0
a44af723b3d5e6fa003b9d7f70f249c5529aa03a,qemu,0
c50f65118b429e6847d5c11b1a20a560d61c34b7,qemu,0
b94b330e233368d906e8b66e827a761e67845c51,qemu,0
5f997fd17b9be6a662fa7b5cc1305076cd6c8894,qemu,0
9c98cfbe72b21d9d84b9ea8d231bde103b9fb7ae,qemu,0
80b7a265362c870f95fb5ca1f7e7a02c0fa0db3e,qemu,0
