sha_id,project,vulnerability
43e1ccfea186080b1c4cb4cd1e59ac1a3c3dc446,ffmpeg,0
48e52e4edd12adbc36eee0eebe1b97ffe0255be3,ffmpeg,0
7993ec19af394fdc58ec64165bc0b12619543a5d,ffmpeg,0
3a02cbe3faccad9e346d63cf40c009e664657304,ffmpeg,0
2472dbc7a770a908a2f511ec337ec392ca3e3afa,ffmpeg,0
1f28a991effadc64acd6915805b989ab43500f08,ffmpeg,0
6a4d1c9063174234ca439244cf8f5f534afa1c28,ffmpeg,0
22241208eb7d0168b2afc128af5a128a9ef0a89b,ffmpeg,0
73789b85a759f3874112618120194e1712d7adcd,ffmpeg,0
50e30d9bb71e1dff27be16c264fac90e362b9896,ffmpeg,0
b5da07d4340a8e8e40dcd1900977a76ff31fbb84,ffmpeg,0
6bf48c4805cbb9754aa5a7bcb5f46df6bda95447,ffmpeg,0
0105ed551cb9610c62b6920a301125781e1161a0,ffmpeg,0
260ea7a7b395891b12eeddbd9042e0a4d3c72db9,ffmpeg,0
1a0d9b503d2e9c4278d6e93d40873dff9d191a25,ffmpeg,0
9042402ec78ad050eb7ad129610450ef90371df4,ffmpeg,0
6029b8a6bbc8bbf7799108582e71078ec0bde1cf,ffmpeg,0
7ca422bb1b8f80f8412a229454a8ac6bd9655ae8,ffmpeg,0
edd041e64c0b96c8a2be37a1b143ae1c0048fc09,ffmpeg,0
1fe40e73a67c703f574545bcb4573e3c695b7ed6,ffmpeg,0
a579dbb4f7deee142d1bb6545a169c9fcaa467af,ffmpeg,0
fa30a0a54854cd291008c065dfaf45d610e3cd04,ffmpeg,0
97cfe1d8bd1968143e2ba9aa46ebe9504a835e24,ffmpeg,0
067e42b851a707924a154c4757516cc488985eb3,ffmpeg,0
19f6fd199e46c5a56f09a768ece4246b48bd86dd,ffmpeg,0
4dec101acc393fbfe9a8ce0237b9efbae3f20139,ffmpeg,0
9c1812491f7be2730351969f4abd9b99d300d604,ffmpeg,0
f68ea92833474d7f0e493c6009eb533cb9c8bc90,ffmpeg,0
279e3aaa14daba6b7a37d75f3fb6e29c732d123f,ffmpeg,0
89812e423de61ea77ea6deae8c8ed4c4a4413646,ffmpeg,0
36eae45510435378cfc498c6b68966492a58d03e,ffmpeg,0
7b3cb953f7d790c1ca26dd3da17ba6aea38918fd,ffmpeg,0
19c5fa9eea47d45b5eedce3bff4edeaf83fb3942,ffmpeg,0
b9b82151a1aaa8bbf389853a6142c4e101d80b86,ffmpeg,0
156bd8278f4098426cffaa68efb161907e5c1869,ffmpeg,0
a755b725ec1d657609c8bd726ce37e7cf193d03f,ffmpeg,0
03ce71e4a1187340720e1569ac96c285c145a1f7,ffmpeg,0
ee480790c7eeb03c9cebd8971c46e0cb7db65277,ffmpeg,0
d5d62ce6d643de704e7bd62a2375e6391c0ffb9a,ffmpeg,0
227d602bb36f9460e007fb3e1fbff4a776838498,ffmpeg,0
0eb319800567b79ca6b4cf0d90904318641b9e50,ffmpeg,0
89092fafdde894c6ba4d4f8e3cd1cce0d68bfc22,ffmpeg,0
e89cef40506d990a982aefedfde7d3ca4f88c524,ffmpeg,0
8a78fc5b015f34e0a0c877b4b22b33fb961f847b,ffmpeg,0
