cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,github,refs
CVE-2005-1247,https://www.cvedetails.com/cve/CVE-2005-1247/,,DoS,2004-01-15,2008-09-05,5.0,None,Remote,Low,Not required,None,None,None,"webadmin.exe in Novell Nsure Audit 1.0.1 allows remote attackers to cause a denial of service via malformed ASN.1 packets in corrupt client certificates to an SSL server, as demonstrated using an exploit for the OpenSSL ASN.1 parsing vulnerability.",[],"['http://archives.neohapsis.com/archives/vulnwatch/2005-q2/0021.html', 'http://support.novell.com/cgi-bin/search/searchtid.cgi?/10097379.htm', 'http://www.cirt.dk/advisories/cirt-31-advisory.pdf', 'http://www.derkeiler.com/Mailing-Lists/securityfocus/bugtraq/2004-01/0126.html']"
CVE-2005-0441,https://www.cvedetails.com/cve/CVE-2005-0441/,,Exec Code Overflow,2004-12-22,2017-07-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,"Multiple stack-based buffer overflows in Sybase Adaptive Server Enterprise (ASE) 12.x before 12.5.3 ESD#1 allow remote authenticated users to execute arbitrary code via the (1) attrib_valid function, (2) covert function, (3) declare statement, or (4) a crafted query plan, or remote authenticated users with database owner or ""sa"" role privileges to execute arbitrary code via (5) a crafted install java statement.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/19980', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/19979', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/19978', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/19976', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/19974', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/19354', 'http://www.sybase.com/detail?id=1034752', 'https://marc.info/?l=bugtraq&m=111272918117194&w=2', 'http://www.ngssoftware.com/advisories/sybase-ase.txt', 'http://archives.neohapsis.com/archives/bugtraq/2004-12/0315.html', 'http://www.sybase.com/detail?id=1034520', 'http://www.securityfocus.com/bid/12080', 'http://www.securityfocus.com/archive/1/393851']"
CVE-2005-0373,https://www.cvedetails.com/cve/CVE-2005-0373/,,Exec Code Overflow,2004-10-07,2017-07-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,"Buffer overflow in digestmd5.c CVS release 1.170 (also referred to as digestmda5.c), as used in the DIGEST-MD5 SASL plugin for Cyrus-SASL but not in any official releases, allows remote attackers to execute arbitrary code.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/17642', 'https://bugzilla.andrew.cmu.edu/cgi-bin/cvsweb.cgi/src/sasl/plugins/digestmd5.c?rev=1.171&content-type=text/x-cvsweb-markup', 'http://www.securityfocus.com/bid/11347', 'https://bugzilla.andrew.cmu.edu/cgi-bin/cvsweb.cgi/src/sasl/plugins/digestmd5.c.diff?r1=1.170&r2=1.171', 'http://www.monkey.org/openbsd/archive/ports/0407/msg00265.html', 'http://www.mandriva.com/security/advisories?name=MDKSA-2005:054', 'https://www.gentoo.org/security/en/glsa/glsa-200410-05.xml', 'http://www.linuxcompatible.org/print42495.html']"
CVE-2005-0192,https://www.cvedetails.com/cve/CVE-2005-0192/,,Dir. Trav.,2004-10-06,2017-12-12,2.6,None,Remote,High,Not required,Partial,None,None,Directory traversal vulnerability in the parsing of Skin file names in RealPlayer 10.5 (6.0.12.1040) and earlier allows remote attackers to read arbitrary files via a .. (dot dot) in an RJS filename.,[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/18984', 'http://www.ngssoftware.com/advisories/real-03full.txt', 'http://service.real.com/help/faq/security/040928_player/EN/', 'https://marc.info/?l=bugtraq&m=110616302008401&w=2', 'https://marc.info/?l=bugtraq&m=109707741022291&w=2']"
CVE-2005-0190,https://www.cvedetails.com/cve/CVE-2005-0190/,,Dir. Trav. Bypass,2004-09-29,2017-11-16,2.6,None,Remote,High,Not required,None,Partial,Partial,"Directory traversal vulnerability in RealPlayer 10.5 (6.0.12.1040) and earlier allows remote attackers to delete arbitrary files via a Real Metadata Packages (RMP) file with a FILENAME tag containing .. (dot dot) sequences in a filename that ends with a ? (question mark) and an allowed file extension (e.g. .mp3), which bypasses the check for the file extension.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/17551', 'http://www.securityfocus.com/bid/11308', 'http://www.ngssoftware.com/advisories/real-02full.txt', 'http://service.real.com/help/faq/security/040928_player/EN/', 'https://marc.info/?l=bugtraq&m=110616160228843&w=2', 'https://marc.info/?l=bugtraq&m=109707741022291&w=2']"
CVE-2005-0189,https://www.cvedetails.com/cve/CVE-2005-0189/,,Exec Code Overflow,2004-10-06,2017-11-16,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Stack-based buffer overflow in the HandleAction function in RealPlayer 10.5 (6.0.12.1040) and earlier allows remote attackers to execute arbitrary code via a long ShowPreferences argument.,[],"['http://www.securityfocus.com/bid/12311', 'https://www.kb.cert.org/vuls/id/698390', 'http://service.real.com/help/faq/security/040928_player/EN/', 'https://marc.info/?l=bugtraq&m=110616636318261&w=2', 'http://archives.neohapsis.com/archives/ntbugtraq/2005-q1/0046.html', 'https://marc.info/?l=bugtraq&m=109707741022291&w=2']"
CVE-2005-0188,https://www.cvedetails.com/cve/CVE-2005-0188/,,Exec Code,2004-10-06,2017-07-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Format string vulnerability in the SetBaseURL function in AtHoc toolbar allows remote attackers to execute arbitrary code via format string specifiers in an invalid URL that is recorded in the debug log.,[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/17628', 'http://www.securityfocus.com/bid/11341', 'http://www.ngssoftware.com/advisories/athoc-01full.txt', 'https://marc.info/?l=bugtraq&m=110616363415176&w=2', 'https://marc.info/?l=bugtraq&m=109710974324742&w=2']"
CVE-2005-0068,https://www.cvedetails.com/cve/CVE-2005-0068/,,DoS,2004-12-22,2008-09-05,5.0,None,Remote,Low,Not required,None,None,None,"The original design of ICMP does not require authentication for host-generated ICMP error messages, which makes it easier for attackers to forge ICMP error messages for specific TCP connections and cause a denial of service, as demonstrated using (1) blind connection-reset attacks with forged ""Destination Unreachable"" messages, (2) blind throughput-reduction attacks with forged ""Source Quench"" messages, or (3) blind throughput-reduction attacks with forged ICMP messages that cause the Path MTU to be reduced.  NOTE: CVE-2004-0790, CVE-2004-0791, and CVE-2004-1060 have been SPLIT based on different attacks; CVE-2005-0065, CVE-2005-0066, CVE-2005-0067, and CVE-2005-0068 are related identifiers that are SPLIT based on the underlying vulnerability.  While CVE normally SPLITs based on vulnerability, the attack-based identifiers exist due to the variety and number of affected implementations and solutions that address the attacks instead of the underlying vulnerabilities.",[],"['http://www.securityfocus.com/bid/13124', 'http://www.gont.com.ar/drafts/icmp-attacks-against-tcp.html']"
CVE-2005-0067,https://www.cvedetails.com/cve/CVE-2005-0067/,,DoS,2004-12-22,2008-09-05,5.0,None,Remote,Low,Not required,None,None,None,"The original design of TCP does not require that port numbers be assigned randomly (aka ""Port randomization""), which makes it easier for attackers to forge ICMP error messages for specific TCP connections and cause a denial of service, as demonstrated using (1) blind connection-reset attacks with forged ""Destination Unreachable"" messages, (2) blind throughput-reduction attacks with forged ""Source Quench"" messages, or (3) blind throughput-reduction attacks with forged ICMP messages that cause the Path MTU to be reduced.  NOTE: CVE-2004-0790, CVE-2004-0791, and CVE-2004-1060 have been SPLIT based on different attacks; CVE-2005-0065, CVE-2005-0066, CVE-2005-0067, and CVE-2005-0068 are related identifiers that are SPLIT based on the underlying vulnerability.  While CVE normally SPLITs based on vulnerability, the attack-based identifiers exist due to the variety and number of affected implementations and solutions that address the attacks instead of the underlying vulnerabilities.",[],"['http://www.securityfocus.com/bid/13124', 'http://www.gont.com.ar/drafts/icmp-attacks-against-tcp.html']"
CVE-2005-0066,https://www.cvedetails.com/cve/CVE-2005-0066/,,DoS,2004-12-22,2008-09-05,5.0,None,Remote,Low,Not required,None,None,None,"The original design of TCP does not check that the TCP Acknowledgement number in an ICMP error message generated by an intermediate router is within the range of possible values for data that has already been acknowledged (aka ""TCP acknowledgement number checking""), which makes it easier for attackers to forge ICMP error messages for specific TCP connections and cause a denial of service, as demonstrated using (1) blind connection-reset attacks with forged ""Destination Unreachable"" messages, (2) blind throughput-reduction attacks with forged ""Source Quench"" messages, or (3) blind throughput-reduction attacks with forged ICMP messages that cause the Path MTU to be reduced.  NOTE: CVE-2004-0790, CVE-2004-0791, and CVE-2004-1060 have been SPLIT based on different attacks; CVE-2005-0065, CVE-2005-0066, CVE-2005-0067, and CVE-2005-0068 are related identifiers that are SPLIT based on the underlying vulnerability.  While CVE normally SPLITs based on vulnerability, the attack-based identifiers exist due to the variety and number of affected implementations and solutions that address the attacks instead of the underlying vulnerabilities.",[],"['http://www.securityfocus.com/bid/13124', 'http://www.gont.com.ar/drafts/icmp-attacks-against-tcp.html']"
