cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,github,refs
CVE-2004-1776,https://www.cvedetails.com/cve/CVE-2004-1776/,,,2001-02-28,2017-07-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Cisco IOS 12.1(3) and 12.1(3)T allows remote attackers to read and modify device configuration data via the cable-docsis read-write community string used by the Data Over Cable Service Interface Specification (DOCSIS) standard.,[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/6180', 'https://www.kb.cert.org/vuls/id/840665', 'https://www.cisco.com/warp/public/707/ios-snmp-community-vulns-pub.shtml']"
CVE-2001-1585,https://www.cvedetails.com/cve/CVE-2001-1585/,CWE-287,Bypass,2001-12-31,2017-07-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"SSH protocol 2 (aka SSH-2) public key authentication in the development snapshot of OpenSSH 2.3.1, available from 2001-01-18 through 2001-02-08, does not perform a challenge-response step to ensure that the client has the proper private key, which allows remote attackers to bypass authentication as other users by supplying a public key from that user's authorized_keys file.",[],"['http://online.securityfocus.com/bid/2356', 'https://www.openbsd.org/advisories/ssh_bypass.txt', 'http://archives.neohapsis.com/archives/bugtraq/2001-02/0159.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/6084']"
CVE-2001-1584,https://www.cvedetails.com/cve/CVE-2001-1584/,CWE-20,Exec Code,2001-12-31,2017-07-28,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,CardBoard 2.4 greeting card CGI by Michael Barretto allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient field.,[],"['http://www.securiteam.com/unixfocus/5MP0M2K5FC.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7178', 'http://www.securityfocus.com/bid/3360']"
CVE-2001-1583,https://www.cvedetails.com/cve/CVE-2001-1583/,,Exec Code,2001-12-31,2018-10-30,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,lpd daemon (in.lpd) in Solaris 8 and earlier allows remote attackers to execute arbitrary commands via a job request with a crafted control file that is not properly handled when lpd invokes a mail program. NOTE: this might be the same vulnerability as CVE-2000-1220.,[],"['http://www.derkeiler.com/Mailing-Lists/securityfocus/incidents/2001-08/0490.html', 'http://www.securityfocus.com/bid/3274', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7087', 'https://marc.info/?l=bugtraq&m=99929694701826&w=2', 'http://metasploit.com/projects/Framework/modules/exploits/solaris_lpd_exec.pm']"
CVE-2001-1582,https://www.cvedetails.com/cve/CVE-2001-1582/,CWE-119,Exec Code Overflow,2001-12-31,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Buffer overflow in the LDAP naming services library (libsldap) in Sun Solaris 8 allows local users to execute arbitrary code via a long LDAP_OPTIONS environment variable to a privileged program that uses libsldap.,[],"['http://seclists.org/bugtraq/2001/Jul/0077.html', 'http://seclists.org/bugtraq/2001/Jul/0091.html', 'http://seclists.org/bugtraq/2001/Jun/0365.html', 'http://www.securityfocus.com/bid/2931', 'http://www.securiteam.com/unixfocus/5IP0O2A4KS.html']"
CVE-2001-1581,https://www.cvedetails.com/cve/CVE-2001-1581/,,Bypass,2001-12-31,2017-07-28,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,The File Blocker feature in Clearswift MAILsweeper for SMTP 4.2 allows remote attackers to bypass e-mail attachment filtering policies via a modified name in a Content-Type header.,[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/6801', 'http://www.mimesweeper.com/support/technotes/notes/1102.asp']"
CVE-2001-1580,https://www.cvedetails.com/cve/CVE-2001-1580/,,Dir. Trav.,2001-12-31,2017-12-18,5.0,None,Remote,Low,Not required,Partial,None,None,"Directory traversal vulnerability in ScriptEase viewcode.jse for Netware 5.1 before 5.1 SP3 allows remote attackers to read arbitrary files via "".."" sequences in the query string.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/7726', 'http://www.derkeiler.com/Mailing-Lists/securityfocus/bugtraq/2001-12/0204.html', 'http://www.derkeiler.com/Mailing-Lists/securityfocus/bugtraq/2001-12/0218.html', 'http://www.securityfocus.com/bid/3715', 'http://www.derkeiler.com/Mailing-Lists/securityfocus/bugtraq/2001-12/0221.html']"
CVE-2001-1579,https://www.cvedetails.com/cve/CVE-2001-1579/,,DoS,2001-12-31,2008-09-05,5.0,None,Remote,Low,Not required,None,None,None,"The timed program (in.timed) in UnixWare 7 and OpenUnix 8.0.0 does not properly terminate certain strings with a null, which allows remote attackers to cause a denial of service.",[],['http://archives.neohapsis.com/archives/linux/caldera/2001-q4/0020.html']
CVE-2001-1578,https://www.cvedetails.com/cve/CVE-2001-1578/,,,2001-12-31,2008-09-05,2.1,None,Local,Low,Not required,None,Partial,Partial,Unknown vulnerability in SCO OpenServer 5.0.6 and earlier allows local users to modify critical information such as certain CPU registers and segment descriptors.,[],['http://archives.neohapsis.com/archives/linux/caldera/2001-q4/0014.html']
CVE-2001-1577,https://www.cvedetails.com/cve/CVE-2001-1577/,,+Priv,2001-12-31,2017-07-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,"Unknown vulnerability in CDE in Caldera OpenUnix 7.1.0, 7.1.1, and 8.0 allows an xterm session to gain privileges when the session is reused.",[],"['http://www.securityfocus.com/bid/3646', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7666', 'http://archives.neohapsis.com/archives/linux/caldera/2001-q4/0017.html']"
CVE-2001-1576,https://www.cvedetails.com/cve/CVE-2001-1576/,,Exec Code Overflow,2001-12-31,2008-09-05,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Buffer overflow in cron in Caldera UnixWare 7 allows local users to execute arbitrary code via a command line argument.,[],['https://cert.uni-stuttgart.de/archive/bugtraq/2001/06/msg00404.html']
CVE-2001-1575,https://www.cvedetails.com/cve/CVE-2001-1575/,,DoS Overflow,2001-12-31,2017-07-10,5.0,None,Remote,Low,Not required,None,None,None,"Apple Personal Web Sharing (PWS) 1.1, 1.5, and 1.5.5, when Web Sharing authentication is enabled, allows remote attackers to cause a denial of service via a long password, possibly due to a buffer overflow.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/6759', 'https://cert.uni-stuttgart.de/archive/bugtraq/2001/06/msg00409.html', 'http://www.securityfocus.com/bid/2945']"
CVE-2001-1574,https://www.cvedetails.com/cve/CVE-2001-1574/,,Exec Code Overflow,2001-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Buffer overflow in (1) HttpSaveCVP.dll and (2) HttpSaveCSP.dll in Trend Micro InterScan VirusWall 3.5.1 allows remote attackers to execute arbitrary code.,[],['https://cert.uni-stuttgart.de/archive/bugtraq/2001/06/msg00408.html']
