cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,github,refs
CVE-2009-4535,https://www.cvedetails.com/cve/CVE-2009-4535/,CWE-200,+Info,2009-12-31,2010-01-04,5.0,None,Remote,Low,Not required,Partial,None,None,Mongoose 2.8.0 and earlier allows remote attackers to obtain the source code for a web page by appending a / (slash) character to the URI.,[],"['https://pocoftheday.blogspot.com/2009/10/mongoose-web-server-v280-remote-source_22.html', 'https://secunia.com/advisories/36934', 'http://freetexthost.com/0lcsrgt3vw']"
CVE-2009-4534,https://www.cvedetails.com/cve/CVE-2009-4534/,,,2009-12-31,2010-01-04,4.3,None,Remote,Medium,Not required,None,Partial,Partial,"Open redirect vulnerability in the FAQ Ask module 5.x and 6.x before 6.x-2.0, a module for Drupal, allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via unspecified vectors.",[],"['https://drupal.org/node/617444', 'http://www.securityfocus.com/bid/36877']"
CVE-2009-4533,https://www.cvedetails.com/cve/CVE-2009-4533/,CWE-200,+Info,2009-12-31,2017-08-16,5.0,None,Remote,Low,Not required,Partial,None,None,"The Webform module 5.x before 5.x-2.8 and 6.x before 6.x-2.8, a module for Drupal, does not prevent caching of a page that contains token placeholders for a default value, which allows remote attackers to read session variables via unspecified vectors.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/53797', 'http://www.vupen.com/english/advisories/2009/2923', 'http://www.securityfocus.com/bid/36708', 'https://drupal.org/node/604942', 'https://drupal.org/node/604922', 'https://drupal.org/node/604920']"
CVE-2009-4532,https://www.cvedetails.com/cve/CVE-2009-4532/,CWE-79,XSS,2009-12-31,2017-08-16,3.5,None,Remote,Medium,Single system,None,Partial,Partial,"Cross-site scripting (XSS) vulnerability in the Webform module 5.x before 5.x-2.8 and 6.x before 6.x-2.8, a module for Drupal, allows remote authenticated users, with webform creation privileges, to inject arbitrary web script or HTML via a field label.",[],"['http://www.securityfocus.com/bid/36708', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/53796', 'http://www.vupen.com/english/advisories/2009/2923', 'https://drupal.org/node/604942']"
CVE-2009-4531,https://www.cvedetails.com/cve/CVE-2009-4531/,CWE-200,+Info,2009-12-31,2017-08-16,5.0,None,Remote,Low,Not required,Partial,None,None,httpdx 1.4.4 and earlier allows remote attackers to obtain the source code for a web page by appending a . (dot) character to the URI.,[],"['https://pocoftheday.blogspot.com/2009/10/httpdx-144-remote-arbitrary-source.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/53733', 'http://freetexthost.com/eiyfyt0km5', 'http://packetstormsecurity.org/0910-exploits/httpdx-disclose.txt']"
CVE-2009-4530,https://www.cvedetails.com/cve/CVE-2009-4530/,CWE-200,+Info,2009-12-31,2010-01-04,5.0,None,Remote,Low,Not required,Partial,None,None,Mongoose 2.8.0 and earlier allows remote attackers to obtain the source code for a web page by appending ::$DATA to the URI.,[],"['http://packetstormsecurity.org/0910-exploits/mongoose-disclose.txt', 'https://secunia.com/advisories/36934']"
CVE-2009-4529,https://www.cvedetails.com/cve/CVE-2009-4529/,CWE-200,+Info,2009-12-31,2017-08-16,5.0,None,Remote,Low,Not required,Partial,None,None,"InterVations NaviCOPA Web Server 3.0.1.2 and earlier allows remote attackers to obtain the source code for a web page via a trailing encoded space character in a URI, as demonstrated by /index.html%20 and /index.php%20 URIs.",[],"['http://www.vupen.com/english/advisories/2009/2927', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/53799', 'http://www.securityfocus.com/bid/36705', 'http://www.packetstormsecurity.org/0910-exploits/navicopa-disclose.txt', 'https://pocoftheday.blogspot.com/2009/10/navicopa-web-server-3012-remote-source.html', 'http://freetexthost.com/n5l0h34pxc']"
CVE-2009-4528,https://www.cvedetails.com/cve/CVE-2009-4528/,CWE-264,Bypass,2009-12-31,2017-08-16,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"The Organic Groups (OG) Vocabulary module 6.x before 6.x-1.0 for Drupal allows remote authenticated group members to bypass intended access restrictions, and create, modify, or read a vocabulary, via unspecified vectors.",[],"['https://exchange.xforce.ibmcloud.com/vulnerabilities/53780', 'http://www.vupen.com/english/advisories/2009/2920', 'http://www.securityfocus.com/bid/36685', 'https://drupal.org/node/604514', 'https://drupal.org/node/604354']"
CVE-2009-4527,https://www.cvedetails.com/cve/CVE-2009-4527/,CWE-264,+Priv,2009-12-31,2017-08-16,4.6,User,Local,Low,Not required,Partial,Partial,Partial,"The Shibboleth authentication module 5.x before 5.x-3.4 and 6.x before 6.x-3.2, a module for Drupal, does not properly remove statically granted privileges after a logout or other session change, which allows physically proximate attackers to gain privileges by using an unattended web browser.",[],"['http://www.vupen.com/english/advisories/2009/2919', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/53779', 'http://www.securityfocus.com/bid/36684', 'https://drupal.org/node/604488']"
CVE-2009-4526,https://www.cvedetails.com/cve/CVE-2009-4526/,CWE-264,,2009-12-31,2010-01-04,5.0,None,Remote,Low,Not required,Partial,None,None,"The Send by e-mail sub-module in the Print (aka Printer, e-mail and PDF versions) module 5.x before 5.x-4.9 and 6.x before 6.x-1.9, a module for Drupal, does not properly enforce privilege requirements, which allows remote attackers to read page titles by requesting a ""Send to friend"" form.",[],"['http://osvdb.org/58951', 'http://www.securityfocus.com/bid/36707', 'https://secunia.com/advisories/37059', 'http://www.vupen.com/english/advisories/2009/2922', 'https://drupal.org/node/604804', 'https://drupal.org/node/604806', 'https://drupal.org/node/604808']"
