cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,github,refs
CVE-2003-0061,https://www.cvedetails.com/cve/CVE-2003-0061/,,Exec Code Overflow,2002-01-11,2008-09-05,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Buffer overflow in passwd for HP UX B.10.20 allows local users to execute arbitrary commands with root privileges via a long LANG environment variable.,[],['http://www.idefense.com/application/poi/display?id=87&type=vulnerabilities&flashstatus=true']
CVE-2002-2426,https://www.cvedetails.com/cve/CVE-2002-2426/,CWE-352,CSRF,2002-12-31,2008-09-05,4.3,None,Remote,Medium,Not required,None,Partial,Partial,"Cross-site request forgery (CSRF) vulnerability in Citrix Presentation Server 4.0 and 4.5, MetaFrame Presentation Server 3.0, and Access Essentials 1.0 through 2.0 allows remote attackers to execute arbitrary published applications, and possibly other programs, as authenticated users via the InitialProgram key in an ICA connection. NOTE: some of these details are obtained from third party information.",[],"['http://packetstormsecurity.org/0210-exploits/hackingcitrix.txt', 'https://secunia.com/advisories/27633', 'http://support.citrix.com/article/CTX115245', 'http://www.frsirt.com/english/advisories/2007/3870', 'http://www.securitytracker.com/id?1018962', 'http://www.securityfocus.com/bid/26451']"
CVE-2002-2425,https://www.cvedetails.com/cve/CVE-2002-2425/,CWE-264,,2002-12-31,2008-09-05,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Sun AnswerBook2 1.2 through 1.4.2 allows remote attackers to execute administrative scripts such as (1) AdminViewError and (2) AdminAddadmin via a direct request.,[],"['http://archives.neohapsis.com/archives/bugtraq/2002-07/0486.html', 'http://www.securityfocus.com/bid/5383', 'http://www.iss.net/security_center/static/9756.php']"
CVE-2002-2424,https://www.cvedetails.com/cve/CVE-2002-2424/,CWE-79,XSS,2002-12-31,2008-09-05,4.3,None,Remote,Medium,Not required,None,Partial,Partial,Cross-site scripting (XSS) vulnerability in PHP(Reactor) 1.2.7 pl1 allows remote attackers to inject arbitrary web script or HTML via Javascript in the style attribute of an HTML tag.,[],"['http://archives.neohapsis.com/archives/bugtraq/2002-08/0262.html', 'http://www.securityfocus.com/bid/5569', 'http://www.iss.net/security_center/static/9958.php']"
CVE-2002-2423,https://www.cvedetails.com/cve/CVE-2002-2423/,CWE-20,,2002-12-31,2008-09-05,6.4,None,Remote,Low,Not required,Partial,Partial,Partial,"Sendmail 8.12.0 through 8.12.6 truncates log messages longer than 100 characters, which allows remote attackers to prevent the IP address from being logged via a long IDENT response.",[],"['http://archive.cert.uni-stuttgart.de/bugtraq/2002/09/msg00267.html', 'http://www.securityfocus.com/bid/5770', 'http://www.iss.net/security_center/static/10153.php']"
CVE-2002-2422,https://www.cvedetails.com/cve/CVE-2002-2422/,CWE-79,XSS,2002-12-31,2008-09-05,4.3,None,Remote,Medium,Not required,None,Partial,Partial,"Cross-site scripting (XSS) vulnerability in Compaq Insight Management Agents 2.0, 2.1, 3.6.0, 4.2 and 4.3.7 allows remote attackers to inject arbitrary web script or HTML via a URL, which inserts the script into the resulting error message.",[],"['http://www.securityfocus.com/bid/5780', 'http://www.securiteam.com/windowsntfocus/6G00K0A5SM.html']"
CVE-2002-2421,https://www.cvedetails.com/cve/CVE-2002-2421/,CWE-20,DoS,2002-12-31,2008-09-05,7.8,None,Remote,Low,Not required,None,None,None,acWEB 1.14 allows remote attackers to cause a denial of service (crash) via an HTTP request for a MS-DOS device name such as COM2.,[],"['http://archives.neohapsis.com/archives/bugtraq/2002-09/0304.html', 'http://www.iss.net/security_center/static/10190.php']"
CVE-2002-2420,https://www.cvedetails.com/cve/CVE-2002-2420/,CWE-20,Exec Code,2002-12-31,2008-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,site_searcher.cgi in Super Site Searcher allows remote attackers to execute arbitrary commands via shell metacharacters in the page parameter.,[],"['http://securitytracker.com/id?1005190', 'http://www.securityfocus.com/bid/5605']"
CVE-2002-2419,https://www.cvedetails.com/cve/CVE-2002-2419/,CWE-189,DoS,2002-12-31,2008-09-05,7.8,None,Remote,Low,Not required,None,None,None,Direct connect text client (DCTC) client 0.83.3 allows remote attackers to cause a denial of service (crash) via a string ending with a NULL byte character.,[],"['http://www.securityfocus.com/bid/5781', 'http://www.iss.net/security_center/static/10181.php']"
CVE-2002-2418,https://www.cvedetails.com/cve/CVE-2002-2418/,CWE-79,XSS,2002-12-31,2008-09-05,4.3,None,Remote,Medium,Not required,None,Partial,Partial,"Cross-site scripting (XSS) vulnerability in acFreeProxy (aka acFP) 1.33 beta 7 allows remote attackers to inject arbitrary web script or HTML via the URL, which is inserted into an error page.",[],"['http://archives.neohapsis.com/archives/vulnwatch/2002-q4/0089.html', 'http://online.securityfocus.com/archive/1/300925', 'http://securityreason.com/securityalert/3327', 'http://www.securityfocus.com/bid/6236', 'http://www.iss.net/security_center/static/10682.php']"
